ORG,CITY,COUNTRY,label
Institute of Financial and Fiscal Studies,Vila Nova de Gaia,Portugal,Instituto de Estudos Superiores Financeiros e Fiscais {https://ror.org/00h974d79}
Polytechnic Institute of Guarda,Guarda,Portugal,Instituto Politécnico da Guarda {https://ror.org/02463v873}
Polytechnic Institute of Setúbal,Setúbal,Portugal,Instituto Politecnico de Setubal {https://ror.org/01bvjz807}
"""Gheorghe Dima"" Music Academy from Cluj-Napoca",Cluj-Napoca,Romania,Gheorghe Dima Music Academy {https://ror.org/01jm65960}
Bucharest University of Economic Studies,Bucharest,Romania,Bucharest University of Economic Studies {https://ror.org/04yvncj21}
"""Henri Coanda"" Air Force Academy",Brașov,Romania,Henri Coanda Air Force Academy {https://ror.org/0425rjj21}
"""Nicolae Balcescu"" Land Forces Academy Sibiu",Sibiu,Romania,Nicolae Bălcescu Land Forces Academy {https://ror.org/03kyen796}
“Mihai Viteazul” National Intelligence Academy,Bucharest,Romania,National Intelligence Academy {https://ror.org/03y3an855}
"""Mircea Cel Batran"" Naval Academy",Constanța,Romania,Mircea cel Batran Naval Academy {https://ror.org/00pzf4g66}
Stockholm School of Economics,Stockholm,Sweden,Stockholm School of Economics {https://ror.org/01s5jzh92}
Abant İzzet Baysal University,Bolu,Turkey,Bolu Abant İzzet Baysal University {https://ror.org/01x1kqx83}
Abdullah Gül University,Kayseri,Turkey,Abdullah Gül University {https://ror.org/00zdyy359}
Adana Alparslan Türkeş Science and Technology University,Adana,Turkey,Adana Science and Technology University {https://ror.org/013z3yn41}
Adana Science and Technology University,Adana,Turkey,Adana Science and Technology University {https://ror.org/013z3yn41}
Adıyaman University,Adıyaman,Turkey,Adıyaman University {https://ror.org/02s4gkg68}
Afyon Kocatepe University,Afyonkarahisar,Turkey,Afyon Kocatepe University {https://ror.org/03a1crh56}
Harran University,Şanlıurfa,Turkey,Harran University {https://ror.org/057qfs197}
Hasan Kalyoncu University,Gaziantep,Turkey,Hasan Kalyoncu University {https://ror.org/054g2pw49}
Nevşehir Hacı Bektaş Veli University,Nevşehir,Turkey,Nevşehir Hacı Bektaş Veli University {https://ror.org/019jds967}
Nevşehir University,Nevşehir,Turkey,Nevşehir Hacı Bektaş Veli University {https://ror.org/019jds967}
AA School of Architecture,London,United Kingdom,Architectural Association School of Architecture {https://ror.org/03b8f3736}
Aberystwyth University,Aberystwyth,United Kingdom,Aberystwyth University {https://ror.org/015m2p889}
ABI College Limited,London,United Kingdom,
Academy of Live and Recorded Arts,London,United Kingdom,
Access Creative College,Manchester,United Kingdom,
Access to Music Limited,Manchester,United Kingdom,
Harper Adams University,Newport,United Kingdom,Harper Adams University {https://ror.org/00z20c921}
Harper Adams University College,Newport,United Kingdom,Harper Adams University {https://ror.org/00z20c921}
Newcastle University,Newcastle upon Tyne,United Kingdom,Newcastle University {https://ror.org/01kj2bm70}
Newman University,Birmingham,United Kingdom,Newman University {https://ror.org/009tnsj43}
Nebrija University,Madrid,Spain,Universidad Nebrija {https://ror.org/03tzyrt94}
Camilo José Cela University,Villanueva de la Cañada,Spain,Camilo José Cela University {https://ror.org/03f6h9044}
San Antonio Catholic University of Murcia,Guadalupe,Spain,Universidad Católica San Antonio de Murcia {https://ror.org/05b1rsv17}
Catholic University of Avila,Ávila,Spain,Catholic University of Ávila {https://ror.org/05wa62164}
Complutense University of Madrid,Madrid,Spain,Universidad Complutense de Madrid {https://ror.org/02p0gd045}
University of A Coruña,A Coruña,Spain,Universidade da Coruña {https://ror.org/01qckj285}
University of Alcalá,Alcalá de Henares,Spain,Universidad de Alcalá {https://ror.org/04pmn0e78}
University of Alicante,Alicante,Spain,University of Alicante {https://ror.org/05t8bcz72}
University of Almeria,Almería,Spain,University of Almería {https://ror.org/003d3xx08}
University of Burgos,Burgos,Spain,Universidad de Burgos {https://ror.org/049da5t36}
University of Cádiz,Cádiz,Spain,Universidad de Cádiz {https://ror.org/04mxxkb11}
University of Cantabria,Santander,Spain,Universidad de Cantabria {https://ror.org/046ffzj20}
University of Castilla-La Mancha,Ciudad Real,Spain,University of Castilla-La Mancha {https://ror.org/05r78ng12}
University of Cordoba,Córdoba,Spain,University of Córdoba {https://ror.org/05yc77b46}
University of Deusto,Bilbao,Spain,Universidad de Deusto {https://ror.org/00ne6sr39}
University of Extremadura,Badajoz,Spain,Universidad de Extremadura {https://ror.org/0174shg90}
University of Granada,Granada,Spain,Universidad de Granada {https://ror.org/04njjy449}
University of Huelva,Huelva,Spain,Universidad de Huelva {https://ror.org/03a1kt624}
University of La Laguna,San Cristóbal de La Laguna,Spain,Universidad de La Laguna {https://ror.org/01r9z8p25}
University of Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,Spain,Universidad de Las Palmas de Gran Canaria {https://ror.org/01teme464}
European University Miguel de Cervantes,Valladolid,Spain,Universidad Europea Miguel de Cervantes {https://ror.org/02p350r61}
Fernando Pessoa Canarias University,Santa María de Guía de Gran Canaria,Spain,Universidad Fernando Pessoa Canarias {https://ror.org/00bqe3914}
Loyola University Andalusia,Seville,Spain,Universidad Loyola Andalucía {https://ror.org/0075gfd51}
International University of Catalonia,Barcelona,Spain,Universitat Internacional de Catalunya {https://ror.org/00tse2b39}
Open University of Catalonia,Barcelona,Spain,Universitat Oberta de Catalunya {https://ror.org/01f5wp925}
Pompeu Fabra University,Barcelona,Spain,Pompeu Fabra University {https://ror.org/04n0g0b29}
Ramon Llull University,Barcelona,Spain,Universitat Ramon Llull {https://ror.org/04p9k2z50}
